1	5	418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	3	1	4	5	3	6	12	2	9	10	8	10	5	9	11	13	12	9	16	15	9	21	10	20	21	18	28	29	19	27	16	16	12	5	
1	5	352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	2	0	1	0	1	3	6	5	7	4	9	4	3	5	9	11	9	10	13	12	10	18	25	23	19	16	32	33	22	14	10	6	4	3	
1	5	424	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	1	4	2	0	3	2	3	8	3	6	3	10	7	5	14	10	6	13	12	10	19	8	16	15	9	17	14	14	22	28	21	23	20	29	18	12	8	3	2	
1	5	409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	1	1	3	1	3	6	4	4	10	5	11	4	9	10	9	11	7	10	13	15	11	15	16	20	15	21	18	19	27	25	27	33	16	3	0	
1	5	361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	4	0	1	3	5	4	4	7	7	7	3	10	6	16	9	16	8	13	16	11	14	15	13	22	14	23	27	26	30	24	
1	5	404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	5	4	1	4	3	5	6	3	5	10	14	14	6	8	9	13	11	16	13	10	21	15	18	17	17	26	15	20	18	15	17	16	10	11	4	1	
1	5	293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	2	2	0	0	1	2	1	3	6	5	9	7	6	4	10	6	7	12	22	16	14	21	24	18	27	19	23	12	4	3	0	1	0	0	0	0	
1	5	490	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	3	0	0	0	5	2	1	6	4	6	13	3	7	6	9	11	15	12	8	15	6	11	16	12	14	13	15	17	20	20	20	24	23	29	26	29	31	23	13	
1	5	458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	2	0	1	2	2	5	3	9	5	4	7	10	6	8	12	14	6	19	17	15	16	16	24	20	20	22	23	24	22	26	28	23	22	14	7	
1	5	387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	5	1	0	4	2	7	2	7	7	7	6	5	12	11	11	6	9	10	14	17	12	28	13	19	15	15	23	21	17	18	19	17	8	10	4	0	
1	5	471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	2	0	3	0	3	3	4	6	9	9	10	14	7	18	11	12	18	15	14	20	10	18	7	14	14	20	18	28	31	36	41	33	12	2	4	1	1	
1	5	426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	2	3	4	1	5	5	7	4	7	2	13	10	12	7	18	13	9	11	14	13	14	7	19	22	24	26	27	29	23	25	28	10	6	2	
1	5	474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	1	0	3	4	1	8	1	4	3	3	7	9	10	6	11	10	13	17	12	11	15	10	14	23	12	16	19	22	16	15	15	32	17	28	25	23	21	12	
1	5	495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	1	4	1	1	6	2	2	6	7	7	7	12	8	5	15	6	18	10	11	17	15	12	10	17	19	15	22	14	16	21	28	25	35	26	28	26	16	
1	5	233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	2	1	1	4	4	2	3	1	2	2	6	4	9	10	12	6	8	17	14	19	17	36	19	16	8	3	3	2	0	0	0	0	0	0	0	
1	5	389	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	1	1	4	0	6	2	1	4	4	1	8	8	8	6	11	9	12	14	13	8	16	15	19	20	18	13	23	31	19	20	22	21	8	9	5	4	1	
1	5	411	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	2	2	3	1	2	2	2	4	5	5	2	4	7	13	8	12	10	5	13	9	9	12	10	18	16	23	16	23	33	21	22	41	29	12	8	2	2	
1	5	493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	1	5	1	4	3	7	5	6	7	9	12	14	7	15	12	12	12	17	15	19	18	23	18	10	22	19	22	24	33	33	27	33	11	8	3	1	
1	5	429	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	2	1	1	4	2	1	3	5	9	8	6	8	2	9	4	15	11	20	11	18	16	12	22	16	22	22	26	42	40	33	25	5	3	2	0	0	0	
1	5	457	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	1	0	1	0	3	1	0	3	3	4	3	4	8	4	10	8	3	10	12	8	15	12	14	14	14	14	22	13	19	10	21	20	12	14	34	26	26	31	19	17	
